spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta,vega,theta,rho,gamma
0.9317,1.1047,0.0886,0.2364,ARITHMETIC,0.0480,0.0956,0.4001,0.0064,-0.0009,0.0142,1.3949
0.9711,1.3943,0.0532,0.1891,ARITHMETIC,0.0561,0.1117,0.4526,0.0076,-0.0003,0.0168,1.4325
0.8641,0.5139,0.1477,0.4491,ARITHMETIC,0.0369,0.0715,0.3107,0.0045,-0.0076,0.0103,1.2427
1.2540,0.7364,0.1729,0.3078,ARITHMETIC,0.3045,0.2994,0.8276,0.0207,-0.0136,0.0463,0.9183
0.8090,0.8100,0.1142,0.3076,GEOMETRIC,0.0143,0.0551,0.2420,0.0034,-0.0017,0.0077,1.0564
1.0083,0.7847,0.1511,0.3968,GEOMETRIC,0.1103,0.1289,0.5037,0.0085,-0.0047,0.0194,1.4386
0.9515,0.7643,0.1508,0.4454,ARITHMETIC,0.0941,0.1055,0.4353,0.0069,-0.0041,0.0157,1.4478
0.9501,1.1763,0.0430,0.4346,ARITHMETIC,0.1042,0.1039,0.4290,0.0068,-0.0007,0.0155,1.4320
0.8650,0.9925,0.0288,0.3954,GEOMETRIC,0.0418,0.0702,0.3042,0.0044,-0.0010,0.0102,1.2144
0.7554,1.0578,0.1755,0.2494,ARITHMETIC,0.0105,0.0450,0.1977,0.0027,-0.0005,0.0061,0.9233
1.1067,0.8895,0.1648,0.3008,GEOMETRIC,0.1771,0.1852,0.6410,0.0126,-0.0044,0.0283,1.3208
0.9982,0.8317,0.1629,0.2583,ARITHMETIC,0.0905,0.1264,0.4993,0.0085,-0.0037,0.0190,1.4680
0.7970,0.9236,0.0973,0.1909,GEOMETRIC,0.0030,0.0519,0.2279,0.0033,-0.0010,0.0072,1.0113
1.4098,1.3742,0.1202,0.1618,GEOMETRIC,0.4481,0.4229,0.9050,0.0300,-0.0013,0.0660,0.4634
1.1578,0.9578,0.0123,0.1410,GEOMETRIC,0.1638,0.2124,0.6823,0.0149,-0.0038,0.0329,1.1526
1.4486,1.0236,0.0856,0.1277,ARITHMETIC,0.4720,0.4657,0.9371,0.0332,-0.0064,0.0730,0.3911
1.9397,0.6757,0.0068,0.1439,ARITHMETIC,0.9412,0.9297,0.9867,0.0666,-0.0553,0.1473,0.0266
1.8064,1.4782,0.0905,0.0914,GEOMETRIC,0.8138,0.7958,0.9778,0.0574,-0.0016,0.1254,0.0562
0.9324,1.2402,0.0528,0.5207,GEOMETRIC,0.1083,0.0949,0.3965,0.0061,-0.0005,0.0141,1.3801
1.4469,0.9881,0.0594,0.1919,ARITHMETIC,0.4649,0.4641,0.9363,0.0328,-0.0074,0.0728,0.3943
0.5255,0.9587,0.1296,0.2390,ARITHMETIC,0.0000,0.0176,0.0615,0.0008,-0.0002,0.0018,0.3333
1.3682,0.5417,0.1711,0.5094,ARITHMETIC,0.4121,0.3992,0.9145,0.0269,-0.0411,0.0621,0.5805
0.5927,0.7641,0.0427,0.1857,GEOMETRIC,0.0000,0.0218,0.0834,0.0011,-0.0006,0.0024,0.4404
1.8323,1.3279,0.0691,0.4955,GEOMETRIC,0.8207,0.8415,1.0037,0.0573,-0.0032,0.1328,0.0498
0.5953,0.7083,0.1365,0.4739,GEOMETRIC,0.0028,0.0225,0.0874,0.0011,-0.0008,0.0025,0.4606
1.4704,0.8128,0.0652,0.4627,ARITHMETIC,0.5041,0.4939,0.9604,0.0336,-0.0164,0.0775,0.3568
1.0269,0.9068,0.1846,0.5377,ARITHMETIC,0.1791,0.1447,0.5551,0.0094,-0.0031,0.0218,1.4994
0.9482,1.3415,0.1269,0.5419,GEOMETRIC,0.1367,0.1026,0.4241,0.0066,-0.0004,0.0152,1.4222
1.8292,0.8154,0.0165,0.5359,GEOMETRIC,0.8162,0.8280,0.9910,0.0561,-0.0274,0.1310,0.0500
0.5921,1.2226,0.0527,0.3953,GEOMETRIC,0.0039,0.0221,0.0852,0.0011,-0.0001,0.0025,0.4502
1.5805,0.6080,0.0036,0.1638,GEOMETRIC,0.5798,0.5621,0.9260,0.0400,-0.0442,0.0887,0.1888
1.6071,1.2881,0.0112,0.1938,ARITHMETIC,0.6138,0.6153,0.9766,0.0436,-0.0028,0.0971,0.1718
1.4357,1.1824,0.0314,0.3432,GEOMETRIC,0.4449,0.4455,0.9147,0.0308,-0.0031,0.0700,0.4088
1.1279,1.3947,0.0410,0.1119,GEOMETRIC,0.1525,0.1937,0.6502,0.0136,-0.0005,0.0298,1.2366
1.7538,0.8881,0.1014,0.5369,ARITHMETIC,0.7897,0.7858,1.0287,0.0532,-0.0191,0.1237,0.0795
1.9607,0.5364,0.0193,0.0965,GEOMETRIC,0.9604,0.9139,0.9491,0.0659,-0.0970,0.1447,0.0227
1.4372,0.9521,0.0880,0.4471,GEOMETRIC,0.4589,0.4529,0.9278,0.0309,-0.0084,0.0709,0.4113
0.6264,0.7547,0.1705,0.5110,GEOMETRIC,0.0079,0.0257,0.1036,0.0013,-0.0008,0.0030,0.5374
0.9410,0.6022,0.1618,0.3372,GEOMETRIC,0.0513,0.0971,0.4029,0.0064,-0.0074,0.0143,1.3745
1.7858,1.0670,0.1415,0.1638,GEOMETRIC,0.7939,0.7842,0.9874,0.0560,-0.0090,0.1232,0.0637
1.9769,1.0720,0.1031,0.1593,GEOMETRIC,0.9728,0.9677,0.9889,0.0692,-0.0109,0.1526,0.0216
0.6843,1.0888,0.0224,0.1794,ARITHMETIC,0.0000,0.0323,0.1368,0.0019,-0.0003,0.0041,0.6828
1.2162,1.1616,0.0041,0.3661,GEOMETRIC,0.2440,0.2585,0.7587,0.0176,-0.0020,0.0402,0.9994
1.8965,0.6623,0.1102,0.3312,GEOMETRIC,0.8928,0.8891,0.9876,0.0620,-0.0559,0.1400,0.0340
1.9532,0.8203,0.0057,0.4727,ARITHMETIC,0.9719,0.9711,1.0166,0.0664,-0.0315,0.1539,0.0254
0.5770,1.3739,0.1173,0.2909,ARITHMETIC,0.0018,0.0213,0.0812,0.0011,-0.0001,0.0024,0.4318
1.6068,1.1889,0.0815,0.3295,GEOMETRIC,0.6156,0.6111,0.9703,0.0425,-0.0042,0.0961,0.1710
1.2737,1.0413,0.1821,0.4114,ARITHMETIC,0.3564,0.3211,0.8597,0.0219,-0.0041,0.0497,0.8697
1.0334,0.9211,0.0296,0.3335,GEOMETRIC,0.0999,0.1394,0.5292,0.0093,-0.0028,0.0212,1.4010
0.7623,0.9832,0.1059,0.2293,GEOMETRIC,0.0039,0.0448,0.1961,0.0027,-0.0006,0.0061,0.9084
1.3358,1.3495,0.1627,0.3316,ARITHMETIC,0.4113,0.3737,0.9031,0.0258,-0.0013,0.0581,0.6752
1.2498,1.0687,0.1503,0.3195,ARITHMETIC,0.3169,0.2976,0.8282,0.0205,-0.0033,0.0461,0.9370
0.8034,0.8572,0.0349,0.4409,GEOMETRIC,0.0281,0.0537,0.2357,0.0033,-0.0013,0.0075,1.0372
0.6682,0.8266,0.1424,0.1234,GEOMETRIC,0.0000,0.0298,0.1243,0.0017,-0.0007,0.0037,0.6275
0.7850,0.8910,0.0638,0.1393,GEOMETRIC,0.0001,0.0489,0.2140,0.0031,-0.0010,0.0068,0.9647
1.5127,0.9790,0.0918,0.2951,ARITHMETIC,0.5392,0.5330,0.9712,0.0372,-0.0088,0.0836,0.2871
0.8956,0.9425,0.1190,0.4368,GEOMETRIC,0.0667,0.0813,0.3478,0.0052,-0.0015,0.0119,1.3103
1.9963,1.2674,0.1353,0.2715,GEOMETRIC,0.9819,1.0013,1.0039,0.0705,-0.0049,0.1576,0.0196
1.0978,0.6895,0.0879,0.1221,GEOMETRIC,0.1243,0.1739,0.6089,0.0121,-0.0095,0.0266,1.2963
0.5098,1.1374,0.1270,0.1156,ARITHMETIC,0.0000,0.0166,0.0561,0.0007,-0.0001,0.0016,0.3057
0.9694,1.1878,0.1190,0.4141,ARITHMETIC,0.1234,0.1136,0.4617,0.0074,-0.0007,0.0170,1.4679
0.8018,1.0872,0.1952,0.2981,ARITHMETIC,0.0299,0.0556,0.2452,0.0035,-0.0005,0.0078,1.0812
0.9846,0.6923,0.1232,0.3148,ARITHMETIC,0.0755,0.1188,0.4755,0.0079,-0.0063,0.0178,1.4518
0.7764,0.6067,0.1986,0.4848,GEOMETRIC,0.0233,0.0484,0.2127,0.0029,-0.0034,0.0066,0.9692
1.0048,1.3076,0.1413,0.4753,ARITHMETIC,0.1751,0.1319,0.5183,0.0086,-0.0005,0.0199,1.4954
1.9856,1.0273,0.0979,0.3051,ARITHMETIC,0.9940,1.0115,1.0251,0.0709,-0.0137,0.1596,0.0213
0.5858,0.9001,0.1633,0.4808,GEOMETRIC,0.0057,0.0219,0.0841,0.0011,-0.0004,0.0024,0.4455
1.2077,0.7112,0.1999,0.1600,ARITHMETIC,0.2594,0.2602,0.7749,0.0183,-0.0131,0.0401,1.0597
0.9027,1.0474,0.1982,0.4447,GEOMETRIC,0.0872,0.0850,0.3624,0.0054,-0.0010,0.0124,1.3457
0.6237,1.3957,0.1480,0.0522,ARITHMETIC,0.0000,0.0254,0.1022,0.0014,-0.0001,0.0030,0.5309
1.2579,0.5512,0.1564,0.5445,ARITHMETIC,0.3166,0.3029,0.8319,0.0202,-0.0298,0.0469,0.9065
0.6690,1.0488,0.1994,0.0880,ARITHMETIC,0.0000,0.0308,0.1296,0.0018,-0.0003,0.0038,0.6539
0.9055,0.9894,0.1642,0.3696,GEOMETRIC,0.0663,0.0851,0.3620,0.0055,-0.0013,0.0124,1.3364
0.8977,0.7591,0.1406,0.5355,GEOMETRIC,0.0752,0.0824,0.3522,0.0052,-0.0032,0.0120,1.3214
1.7003,1.1600,0.1239,0.3769,ARITHMETIC,0.7320,0.7284,1.0200,0.0504,-0.0056,0.1144,0.1066
0.9329,0.9055,0.0519,0.1526,ARITHMETIC,0.0175,0.0948,0.3959,0.0064,-0.0020,0.0141,1.3762
1.6396,1.2104,0.1640,0.5056,ARITHMETIC,0.6987,0.6771,1.0278,0.0460,-0.0042,0.1061,0.1509
1.2941,0.6236,0.1254,0.0695,ARITHMETIC,0.3202,0.3232,0.8361,0.0231,-0.0236,0.0502,0.7672
1.3136,1.3227,0.0676,0.5116,GEOMETRIC,0.3676,0.3438,0.8613,0.0231,-0.0013,0.0536,0.7188
1.3602,0.9630,0.1342,0.1358,ARITHMETIC,0.3984,0.3875,0.8993,0.0275,-0.0068,0.0604,0.5946
1.7722,0.6253,0.0414,0.4957,ARITHMETIC,0.7893,0.7857,1.0056,0.0535,-0.0576,0.1241,0.0701
1.7934,1.0338,0.0696,0.4367,ARITHMETIC,0.8187,0.8190,1.0222,0.0563,-0.0108,0.1292,0.0632
0.6223,0.5797,0.1997,0.3477,GEOMETRIC,0.0002,0.0249,0.0997,0.0013,-0.0017,0.0029,0.5181
1.3309,0.5541,0.1475,0.1019,ARITHMETIC,0.3568,0.3545,0.8629,0.0253,-0.0346,0.0551,0.6611
0.6669,0.8786,0.0621,0.4141,ARITHMETIC,0.0083,0.0305,0.1280,0.0017,-0.0006,0.0038,0.6470
1.8251,0.7840,0.1528,0.2577,GEOMETRIC,0.8278,0.8249,0.9919,0.0581,-0.0312,0.1295,0.0512
1.5692,0.6307,0.1540,0.4440,ARITHMETIC,0.5985,0.5924,0.9928,0.0405,-0.0424,0.0927,0.2154
1.0592,1.1494,0.1962,0.1405,GEOMETRIC,0.1488,0.1558,0.5742,0.0108,-0.0012,0.0236,1.3986
0.9077,0.9647,0.0942,0.1499,ARITHMETIC,0.0160,0.0858,0.3647,0.0057,-0.0014,0.0126,1.3404
1.7747,0.6904,0.1830,0.2389,ARITHMETIC,0.7892,0.7950,1.0146,0.0562,-0.0444,0.1246,0.0697
1.0265,0.7962,0.1916,0.5402,ARITHMETIC,0.1689,0.1442,0.5534,0.0094,-0.0050,0.0218,1.4967
1.2627,1.3835,0.1671,0.3129,ARITHMETIC,0.3489,0.3096,0.8438,0.0214,-0.0009,0.0479,0.8991
1.5524,1.0536,0.0366,0.0759,ARITHMETIC,0.5611,0.5587,0.9591,0.0402,-0.0067,0.0880,0.2283
0.5245,0.9423,0.0827,0.3828,ARITHMETIC,0.0005,0.0176,0.0613,0.0008,-0.0002,0.0018,0.3324
1.0116,1.0935,0.0715,0.4209,ARITHMETIC,0.1340,0.1334,0.5199,0.0088,-0.0013,0.0202,1.4706
0.9627,1.2447,0.1979,0.3432,ARITHMETIC,0.1241,0.1114,0.4555,0.0074,-0.0006,0.0166,1.4734
0.8804,1.3643,0.1593,0.5075,ARITHMETIC,0.1221,0.0792,0.3423,0.0050,-0.0002,0.0115,1.3286
1.3558,1.4835,0.1296,0.4045,GEOMETRIC,0.4100,0.3818,0.8925,0.0261,-0.0008,0.0595,0.6034
1.7874,0.5516,0.1969,0.2920,GEOMETRIC,0.7921,0.7832,0.9842,0.0549,-0.0780,0.1226,0.0629
1.2770,1.0831,0.0632,0.4500,GEOMETRIC,0.3195,0.3108,0.8268,0.0210,-0.0033,0.0484,0.8235
