spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta,vega,theta,rho
0.9317,1.1047,0.0886,0.2364,ARITHMETIC,0.0480,0.1070,0.3860,0.0107,-0.0065,0.0271
0.9711,1.3943,0.0532,0.1891,ARITHMETIC,0.0561,0.1235,0.4343,0.0125,-0.0074,0.0324
0.8641,0.5139,0.1477,0.4491,ARITHMETIC,0.0369,0.0833,0.3113,0.0078,-0.0053,0.0199
1.2540,0.7364,0.1729,0.3078,ARITHMETIC,0.3045,0.2964,0.7758,0.0300,-0.0187,0.0721
0.8090,0.8100,0.1142,0.3076,GEOMETRIC,0.0143,0.0658,0.2503,0.0063,-0.0041,0.0159
1.0083,0.7847,0.1511,0.3968,GEOMETRIC,0.1103,0.1384,0.4737,0.0135,-0.0086,0.0337
0.9515,0.7643,0.1508,0.4454,ARITHMETIC,0.0941,0.1165,0.4160,0.0111,-0.0073,0.0282
0.9501,1.1763,0.0430,0.4346,ARITHMETIC,0.1042,0.1156,0.4127,0.0111,-0.0070,0.0305
0.8650,0.9925,0.0288,0.3954,GEOMETRIC,0.0418,0.0812,0.3030,0.0077,-0.0050,0.0213
0.7554,1.0578,0.1755,0.2494,ARITHMETIC,0.0105,0.0563,0.2159,0.0054,-0.0034,0.0128
1.1067,0.8895,0.1648,0.3008,GEOMETRIC,0.1771,0.1911,0.5961,0.0192,-0.0118,0.0464
0.9982,0.8317,0.1629,0.2583,ARITHMETIC,0.0905,0.1358,0.4682,0.0136,-0.0085,0.0327
0.7970,0.9236,0.0973,0.1909,GEOMETRIC,0.0030,0.0624,0.2375,0.0061,-0.0038,0.0152
1.4098,1.3742,0.1202,0.1618,GEOMETRIC,0.4481,0.4231,0.8979,0.0444,-0.0253,0.1079
1.1578,0.9578,0.0123,0.1410,GEOMETRIC,0.1638,0.2119,0.6237,0.0221,-0.0131,0.0583
1.4486,1.0236,0.0856,0.1277,ARITHMETIC,0.4720,0.4537,0.9131,0.0480,-0.0280,0.1190
1.9397,0.6757,0.0068,0.1439,ARITHMETIC,0.9412,0.9084,1.0145,0.0961,-0.0582,0.2547
1.8064,1.4782,0.0905,0.0914,GEOMETRIC,0.8138,0.8083,1.0396,0.0866,-0.0484,0.2120
0.9324,1.2402,0.0528,0.5207,GEOMETRIC,0.1083,0.1075,0.3884,0.0101,-0.0065,0.0280
1.4469,0.9881,0.0594,0.1919,ARITHMETIC,0.4649,0.4510,0.9099,0.0471,-0.0279,0.1209
0.5255,0.9587,0.1296,0.2390,ARITHMETIC,0.0000,0.0233,0.0834,0.0020,-0.0013,0.0049
1.3682,0.5417,0.1711,0.5094,ARITHMETIC,0.4121,0.3940,0.8853,0.0382,-0.0252,0.0963
0.5927,0.7641,0.0427,0.1857,GEOMETRIC,0.0000,0.0281,0.1036,0.0025,-0.0016,0.0065
1.8323,1.3279,0.0691,0.4955,GEOMETRIC,0.8207,0.8579,1.0721,0.0839,-0.0519,0.2290
0.5953,0.7083,0.1365,0.4739,GEOMETRIC,0.0028,0.0296,0.1102,0.0025,-0.0018,0.0065
1.4704,0.8128,0.0652,0.4627,ARITHMETIC,0.5041,0.4812,0.9405,0.0473,-0.0302,0.1285
1.0269,0.9068,0.1846,0.5377,ARITHMETIC,0.1791,0.1554,0.5239,0.0147,-0.0097,0.0369
0.9482,1.3415,0.1269,0.5419,GEOMETRIC,0.1367,0.1169,0.4185,0.0109,-0.0070,0.0288
1.8292,0.8154,0.0165,0.5359,GEOMETRIC,0.8162,0.8194,1.0268,0.0794,-0.0516,0.2282
0.5921,1.2226,0.0527,0.3953,GEOMETRIC,0.0039,0.0294,0.1091,0.0025,-0.0017,0.0068
1.5805,0.6080,0.0036,0.1638,GEOMETRIC,0.5798,0.5406,0.9123,0.0569,-0.0344,0.1518
1.6071,1.2881,0.0112,0.1938,ARITHMETIC,0.6138,0.6066,0.9902,0.0634,-0.0368,0.1693
1.4357,1.1824,0.0314,0.3432,GEOMETRIC,0.4449,0.4393,0.8999,0.0443,-0.0267,0.1204
1.1279,1.3947,0.0410,0.1119,GEOMETRIC,0.1525,0.1999,0.6087,0.0210,-0.0119,0.0537
1.7538,0.8881,0.1014,0.5369,ARITHMETIC,0.7897,0.7814,1.0669,0.0757,-0.0490,0.2031
1.9607,0.5364,0.0193,0.0965,GEOMETRIC,0.9604,0.8983,0.9814,0.0961,-0.0580,0.2496
1.4372,0.9521,0.0880,0.4471,GEOMETRIC,0.4589,0.4457,0.9113,0.0439,-0.0276,0.1168
0.6264,0.7547,0.1705,0.5110,GEOMETRIC,0.0079,0.0337,0.1273,0.0029,-0.0020,0.0073
0.9410,0.6022,0.1618,0.3372,GEOMETRIC,0.0513,0.1076,0.3869,0.0105,-0.0068,0.0257
1.7858,1.0670,0.1415,0.1638,GEOMETRIC,0.7939,0.7837,1.0310,0.0826,-0.0484,0.1972
1.9769,1.0720,0.1031,0.1593,GEOMETRIC,0.9728,0.9738,1.0478,0.1027,-0.0604,0.2530
0.6843,1.0888,0.0224,0.1794,ARITHMETIC,0.0000,0.0412,0.1566,0.0039,-0.0025,0.0102
1.2162,1.1616,0.0041,0.3661,GEOMETRIC,0.2440,0.2586,0.7099,0.0258,-0.0157,0.0719
1.8965,0.6623,0.1102,0.3312,GEOMETRIC,0.8928,0.8845,1.0315,0.0898,-0.0565,0.2285
1.9532,0.8203,0.0057,0.4727,ARITHMETIC,0.9719,0.9620,1.0603,0.0945,-0.0610,0.2701
0.5770,1.3739,0.1173,0.2909,ARITHMETIC,0.0018,0.0289,0.1067,0.0025,-0.0016,0.0063
1.6068,1.1889,0.0815,0.3295,GEOMETRIC,0.6156,0.6084,0.9932,0.0617,-0.0371,0.1606
1.2737,1.0413,0.1821,0.4114,ARITHMETIC,0.3564,0.3219,0.8213,0.0318,-0.0198,0.0778
1.0334,0.9211,0.0296,0.3335,GEOMETRIC,0.0999,0.1463,0.4899,0.0145,-0.0090,0.0393
0.7623,0.9832,0.1059,0.2293,GEOMETRIC,0.0039,0.0552,0.2111,0.0053,-0.0033,0.0132
1.3358,1.3495,0.1627,0.3316,ARITHMETIC,0.4113,0.3771,0.8854,0.0381,-0.0227,0.0927
1.2498,1.0687,0.1503,0.3195,ARITHMETIC,0.3169,0.2980,0.7841,0.0301,-0.0183,0.0738
0.8034,0.8572,0.0349,0.4409,GEOMETRIC,0.0281,0.0642,0.2442,0.0059,-0.0039,0.0165
0.6682,0.8266,0.1424,0.1234,GEOMETRIC,0.0000,0.0381,0.1447,0.0036,-0.0023,0.0086
0.7850,0.8910,0.0638,0.1393,GEOMETRIC,0.0001,0.0587,0.2236,0.0058,-0.0036,0.0146
1.5127,0.9790,0.0918,0.2951,ARITHMETIC,0.5392,0.5218,0.9635,0.0533,-0.0324,0.1364
0.8956,0.9425,0.1190,0.4368,GEOMETRIC,0.0667,0.0931,0.3434,0.0088,-0.0057,0.0229
1.9963,1.2674,0.1353,0.2715,GEOMETRIC,0.9819,1.0264,1.0841,0.1056,-0.0627,0.2598
1.0978,0.6895,0.0879,0.1221,GEOMETRIC,0.1243,0.1767,0.5560,0.0184,-0.0111,0.0456
0.5098,1.1374,0.1270,0.1156,ARITHMETIC,0.0000,0.0221,0.0778,0.0019,-0.0012,0.0046
0.9694,1.1878,0.1190,0.4141,ARITHMETIC,0.1234,0.1261,0.4445,0.0122,-0.0077,0.0314
0.8018,1.0872,0.1952,0.2981,ARITHMETIC,0.0299,0.0680,0.2591,0.0065,-0.0041,0.0154
0.9846,0.6923,0.1232,0.3148,ARITHMETIC,0.0755,0.1279,0.4455,0.0126,-0.0081,0.0317
0.7764,0.6067,0.1986,0.4848,GEOMETRIC,0.0233,0.0595,0.2282,0.0054,-0.0037,0.0134
1.0048,1.3076,0.1413,0.4753,ARITHMETIC,0.1751,0.1453,0.4988,0.0139,-0.0088,0.0357
1.9856,1.0273,0.0979,0.3051,ARITHMETIC,0.9940,1.0178,1.0870,0.1039,-0.0635,0.2655
0.5858,0.9001,0.1633,0.4808,GEOMETRIC,0.0057,0.0291,0.1080,0.0024,-0.0017,0.0062
1.2077,0.7112,0.1999,0.1600,ARITHMETIC,0.2594,0.2590,0.7186,0.0270,-0.0163,0.0615
0.9027,1.0474,0.1982,0.4447,GEOMETRIC,0.0872,0.0981,0.3609,0.0093,-0.0060,0.0227
0.6237,1.3957,0.1480,0.0522,ARITHMETIC,0.0000,0.0339,0.1274,0.0032,-0.0020,0.0075
1.2579,0.5512,0.1564,0.5445,ARITHMETIC,0.3166,0.3017,0.7859,0.0289,-0.0193,0.0744
0.6690,1.0488,0.1994,0.0880,ARITHMETIC,0.0000,0.0400,0.1524,0.0038,-0.0024,0.0086
0.9055,0.9894,0.1642,0.3696,GEOMETRIC,0.0663,0.0973,0.3570,0.0094,-0.0060,0.0231
0.8977,0.7591,0.1406,0.5355,GEOMETRIC,0.0752,0.0941,0.3470,0.0087,-0.0059,0.0228
1.7003,1.1600,0.1239,0.3769,ARITHMETIC,0.7320,0.7296,1.0614,0.0732,-0.0448,0.1862
0.9329,0.9055,0.0519,0.1526,ARITHMETIC,0.0175,0.1042,0.3756,0.0106,-0.0065,0.0272
1.6396,1.2104,0.1640,0.5056,ARITHMETIC,0.6987,0.6832,1.0707,0.0666,-0.0417,0.1687
1.2941,0.6236,0.1254,0.0695,ARITHMETIC,0.3202,0.3143,0.7799,0.0336,-0.0200,0.0795
1.3136,1.3227,0.0676,0.5116,GEOMETRIC,0.3676,0.3465,0.8384,0.0335,-0.0208,0.0920
1.3602,0.9630,0.1342,0.1358,ARITHMETIC,0.3984,0.3791,0.8609,0.0400,-0.0235,0.0955
1.7722,0.6253,0.0414,0.4957,ARITHMETIC,0.7893,0.7722,1.0320,0.0755,-0.0494,0.2107
1.7934,1.0338,0.0696,0.4367,ARITHMETIC,0.8187,0.8163,1.0656,0.0809,-0.0507,0.2177
0.6223,0.5797,0.1997,0.3477,GEOMETRIC,0.0002,0.0326,0.1226,0.0029,-0.0020,0.0069
1.3309,0.5541,0.1475,0.1019,ARITHMETIC,0.3568,0.3452,0.8154,0.0367,-0.0221,0.0859
0.6669,0.8786,0.0621,0.4141,ARITHMETIC,0.0083,0.0392,0.1493,0.0035,-0.0024,0.0094
1.8251,0.7840,0.1528,0.2577,GEOMETRIC,0.8278,0.8202,1.0325,0.0847,-0.0518,0.2046
1.5692,0.6307,0.1540,0.4440,ARITHMETIC,0.5985,0.5821,0.9977,0.0575,-0.0371,0.1448
1.0592,1.1494,0.1962,0.1405,GEOMETRIC,0.1488,0.1653,0.5409,0.0171,-0.0100,0.0390
0.9077,0.9647,0.0942,0.1499,ARITHMETIC,0.0160,0.0965,0.3528,0.0098,-0.0059,0.0242
1.7747,0.6904,0.1830,0.2389,ARITHMETIC,0.7892,0.7863,1.0481,0.0815,-0.0501,0.1912
1.0265,0.7962,0.1916,0.5402,ARITHMETIC,0.1689,0.1544,0.5207,0.0146,-0.0097,0.0365
1.2627,1.3835,0.1671,0.3129,ARITHMETIC,0.3489,0.3152,0.8158,0.0319,-0.0189,0.0771
1.5524,1.0536,0.0366,0.0759,ARITHMETIC,0.5611,0.5422,0.9497,0.0581,-0.0335,0.1482
0.5245,0.9423,0.0827,0.3828,ARITHMETIC,0.0005,0.0233,0.0831,0.0019,-0.0013,0.0050
1.0116,1.0935,0.0715,0.4209,ARITHMETIC,0.1340,0.1435,0.4895,0.0139,-0.0088,0.0373
0.9627,1.2447,0.1979,0.3432,ARITHMETIC,0.1241,0.1251,0.4432,0.0123,-0.0076,0.0292
0.8804,1.3643,0.1593,0.5075,ARITHMETIC,0.1221,0.0940,0.3495,0.0088,-0.0056,0.0224
1.3558,1.4835,0.1296,0.4045,GEOMETRIC,0.4100,0.3885,0.8879,0.0386,-0.0230,0.0982
1.7874,0.5516,0.1969,0.2920,GEOMETRIC,0.7921,0.7810,1.0252,0.0800,-0.0502,0.1878
1.2770,1.0831,0.0632,0.4500,GEOMETRIC,0.3195,0.3097,0.7865,0.0304,-0.0189,0.0824
